Event Type,Sponsor Types,Sponsor Costs,Expected Footfall,Budget,Total Revenue,ROI
Community and Charity events,Merchandise|Media Sponsorship,24740.15|19817.73,2677,32598.44,59937.11,83.86
Sports events,Financial|Philanthropy|Influencer|Philanthropy,192199.63|27803.92|76085.09|30748.23,8586,230279.66,400651.96,73.98
Virtual event,Philanthropy|Merchandise|Merchandise|Influencer|Media Sponsorship,84303.77|15468.41|13356.87|82745.37|44923.62,8718,147227.4,202755.44,37.72
Virtual event,In Kind|Financial|In Kind,19161.9|103838.31|88587.89,5326,129330.89,216908.31,67.72
Virtual event,Media Sponsorship,22869.45,4137,17572.86,27304.85,55.38
Community and Charity events,Philanthropy|Influencer|Financial,56088.45|52086.98|90756.55,1902,122225.81,226621.09,85.41
Conferences and seminars,Philanthropy|Financial|Influencer,36850.33|183274.13|12583.41,3290,196747.55,289792.99,47.29
Festivals and fairs,Influencer,35004.77,77285,29452.02,52394.17,77.9
Virtual event,Media Sponsorship|Influencer|Financial|Influencer,56617.4|10407.49|69754.61|55864.16,4779,120303.02,222521.43,84.97
Sports events,Influencer|In Kind,46014.69|98140.02,53514,87132.52,162757.75,86.79
Entertainment and media events,In Kind|Merchandise|Food Stalls|Financial|Merchandise,94458.09|39348.33|40373.81|108114.0|32109.73,42705,217526.51,261715.15,20.31
Community and Charity events,Philanthropy|Financial,46494.92|61790.49,3388,65491.11,86519.47,32.11
Community and Charity events,Merchandise|In Kind|Media Sponsorship,3165.25|25818.62|21659.37,1527,34539.42,46612.38,34.95
Sports events,Food Stalls|Food Stalls|Influencer|Philanthropy|Financial,22484.44|43082.2|49199.21|55625.2|27491.92,34945,163582.15,241724.31,47.77
Sports events,Merchandise|Philanthropy|Merchandise,13585.53|34462.02|19705.24,46838,53878.43,68787.82,27.67
Community and Charity events,In Kind,86809.73,1665,67371.32,98097.28,45.61
Entertainment and media events,Media Sponsorship|Merchandise|Merchandise|Merchandise|Merchandise,14247.24|32862.1|9644.26|2487.46|10945.36,6183,49755.06,91241.42,83.38
Virtual event,Financial|Philanthropy|In Kind,109615.18|88683.34|69519.56,4882,190178.29,297736.99,56.56
Festivals and fairs,Financial|Influencer|Financial|Philanthropy|Food Stalls,71318.38|2309.43|76254.25|89948.13|43831.88,34903,250706.2,330463.04,31.81
Virtual event,Financial|Merchandise|Media Sponsorship|Influencer|Merchandise,160518.78|10803.1|73572.31|60008.02|35172.54,5323,215759.49,403994.47,87.24
Sports events,Merchandise|Financial|Financial,38413.06|69439.53|194806.12,72076,193918.09,349182.22,80.07
Entertainment and media events,Food Stalls|In Kind|Food Stalls|Influencer,44923.91|94907.0|35365.84|34093.21,15162,187850.98,370004.49,96.97
Community and Charity events,Food Stalls|Philanthropy,27374.12|8256.36,873,31998.33,49081.22,53.39
Virtual event,Merchandise|Merchandise,10376.88|29615.54,8431,30754.08,53060.72,72.53
Sports events,Influencer|In Kind|Merchandise|Media Sponsorship,48492.78|55504.11|24068.91|92968.07,94570,146981.92,240506.78,63.63
Festivals and fairs,Influencer|Food Stalls|Financial|Food Stalls,61361.41|28256.91|50740.31|10177.09,89702,120820.18,183736.09,52.07
Community and Charity events,Food Stalls|Philanthropy,34918.03|61620.85,208,71100.81,141375.95,98.84
Conferences and seminars,Food Stalls|Merchandise|Media Sponsorship|Media Sponsorship|In Kind,8476.73|24145.27|44909.76|1738.94|68196.31,4008,95640.5,117866.17,23.24
Conferences and seminars,Food Stalls|Merchandise|In Kind,29225.78|16991.04|91654.02,906,101231.57,158906.06,56.97
Festivals and fairs,Financial,123376.5,65531,79338.84,144460.07,82.08
Virtual event,Influencer|Media Sponsorship|Philanthropy,17359.63|83006.88|1603.44,7361,84135.73,99396.09,18.14
Conferences and seminars,Financial|Media Sponsorship|Influencer,90863.22|44092.08|88684.37,2294,181500.35,301107.04,65.9
Conferences and seminars,Philanthropy|Influencer|Media Sponsorship|Merchandise,31268.99|53976.86|56100.95|27335.88,645,115534.28,198267.92,71.61
Sports events,Financial|Merchandise,88514.02|19522.1,35886,75243.02,88201.75,17.22
Community and Charity events,Food Stalls|Food Stalls|Merchandise,43651.3|49082.84|30380.15,1400,80426.19,112536.76,39.93
Entertainment and media events,In Kind|Financial,30815.88|7877.83,49981,28223.97,41615.61,47.45
Sports events,Financial|Food Stalls|Food Stalls|Merchandise|Philanthropy,189017.72|46426.83|5260.56|46957.94|71170.39,76149,289908.28,497558.21,71.63
Sports events,Media Sponsorship|Philanthropy|Merchandise,7018.39|54046.0|24569.37,3220,67766.81,117127.89,72.84
Entertainment and media events,Philanthropy|Media Sponsorship|In Kind|Merchandise,73395.3|35559.18|27179.15|43046.38,35049,117260.01,172114.01,46.78
Virtual event,Merchandise|Financial|Merchandise,3656.79|104619.98|24359.81,4541,101900.6,121774.57,19.5
Community and Charity events,Philanthropy|Media Sponsorship,15017.92|3325.41,1427,13938.88,27088.96,94.34
Entertainment and media events,In Kind,73825.68,40809,56965.72,97247.44,70.71
Festivals and fairs,Financial|Food Stalls|Food Stalls|Media Sponsorship|Philanthropy,74270.51|18580.82|36251.39|32759.17|54267.85,16235,142861.83,179424.07,25.59
Community and Charity events,Financial|Media Sponsorship|Philanthropy|Influencer,17158.77|27263.65|21186.25|33809.62,2058,72492.47,106420.37,46.8
Virtual event,Financial|In Kind|Influencer|In Kind|Merchandise,49439.28|7803.72|22888.18|80016.38|19670.33,1780,139929.72,228167.23,63.06
Sports events,In Kind,89344.12,24289,65455.45,93523.21,42.88
Virtual event,Financial|Influencer|Influencer,80051.53|75096.64|55650.4,6210,145380.65,259242.25,78.32
Festivals and fairs,Merchandise|Merchandise,10347.97|43693.96,29408,34765.94,57991.66,66.81
Festivals and fairs,Philanthropy|Financial|Influencer,70683.4|141157.27|75678.29,7390,211377.87,322131.12,52.4
Conferences and seminars,Philanthropy,88510.01,4385,62767.93,103883.93,65.5
Community and Charity events,Food Stalls|Influencer|Influencer,39877.02|67205.08|79987.66,2665,166487.01,197854.49,18.84
Festivals and fairs,Philanthropy|Merchandise|Food Stalls|Philanthropy|Media Sponsorship,63593.75|47060.17|39405.58|86601.08|4107.95,61547,207240.18,279516.4,34.88
Virtual event,Financial|Philanthropy,9317.75|68923.56,4044,69738.17,133223.21,91.03
Community and Charity events,Influencer|Philanthropy|In Kind,61355.94|12091.1|36720.22,4697,79226.49,109917.19,38.74
Conferences and seminars,In Kind|Influencer,85561.53|36019.39,4138,105988.64,156059.76,47.24
Festivals and fairs,Financial,164473.97,30903,100793.39,163712.22,62.42
Community and Charity events,Influencer|In Kind|Merchandise,81750.79|8892.17|6057.96,566,65428.34,130849.43,99.99
Entertainment and media events,Philanthropy|Food Stalls|Financial|Food Stalls|Media Sponsorship,84460.7|47594.44|161564.17|14510.79|30732.38,37584,275779.65,489986.88,77.67
Festivals and fairs,Merchandise|Food Stalls|Food Stalls|Influencer|Financial,21891.37|17255.88|36264.43|74670.35|117630.27,92342,170907.96,267699.25,56.63
Community and Charity events,Financial,40242.66,2646,25075.71,38629.14,54.05
Festivals and fairs,Food Stalls|Philanthropy|Financial|Food Stalls,5457.11|83811.34|133045.45|1536.31,69758,141995.54,267578.63,88.44
Sports events,Philanthropy|In Kind|Merchandise,5375.66|55623.01|31063.35,39018,57864.14,88150.6,52.34
Festivals and fairs,Philanthropy|Philanthropy|Merchandise|Media Sponsorship,38403.07|45166.36|26789.92|33532.18,6292,122065.67,160398.39,31.4
Conferences and seminars,Philanthropy|Influencer|Philanthropy|Financial,61157.4|50990.97|49091.51|104032.83,2623,237327.72,346503.65,46.0
Sports events,Media Sponsorship|Media Sponsorship|Media Sponsorship,11763.07|35037.4|10470.96,25976,46886.1,53472.98,14.05
Community and Charity events,Food Stalls|Media Sponsorship,13154.47|80090.04,1424,56165.07,108787.18,93.69
Entertainment and media events,Philanthropy,39040.93,20742,31068.22,40627.43,30.77
Festivals and fairs,Philanthropy|Media Sponsorship|In Kind|Media Sponsorship|Philanthropy,14399.09|83182.54|20792.22|41232.66|64389.39,16563,184446.55,268653.25,45.65
Conferences and seminars,Media Sponsorship,8239.4,3576,6179.42,11352.27,83.71
Festivals and fairs,Philanthropy,85859.93,87363,59879.37,77529.08,29.48
Community and Charity events,Philanthropy,27073.49,1648,21401.52,34328.55,60.4
Virtual event,In Kind,25342.53,8792,21715.46,35370.42,62.88
Entertainment and media events,Merchandise,17572.99,43913,14681.52,26545.96,80.81
Entertainment and media events,In Kind|Food Stalls,51034.06|36064.39,10479,65273.05,106921.14,63.81
Entertainment and media events,Philanthropy|Financial,89979.9|174385.02,17202,161331.75,257620.14,59.68
Virtual event,Philanthropy|Financial|In Kind,77280.38|28897.47|36734.3,4846,127038.02,156632.64,23.3
Entertainment and media events,In Kind|In Kind|Food Stalls,55951.83|50129.18|4376.83,2412,92788.83,179617.83,93.58
Sports events,Media Sponsorship|Financial|In Kind|In Kind|Media Sponsorship,15730.76|168145.49|81141.94|89931.6|8086.89,26417,319275.39,467345.81,46.38
Virtual event,Merchandise|Media Sponsorship|In Kind,5386.7|20854.12|22284.11,667,42146.58,76397.05,81.27
Virtual event,Philanthropy|Philanthropy|Financial,30592.95|61895.33|35349.64,4467,79212.36,116047.28,46.5
Entertainment and media events,Merchandise,44146.75,24161,28418.3,34957.97,23.01
Entertainment and media events,In Kind|Influencer|Media Sponsorship|Media Sponsorship,18216.49|17815.9|96174.1|48787.97,2694,151482.48,201342.4,32.91
Virtual event,Merchandise|In Kind|Influencer|Media Sponsorship,7283.57|27250.92|58169.92|69444.95,648,135484.39,242327.97,78.86
Virtual event,Media Sponsorship,69504.72,3227,60976.14,96310.47,57.95
Conferences and seminars,Food Stalls|Food Stalls,8965.81|47820.21,4890,42170.16,71697.95,70.02
Conferences and seminars,Financial|In Kind,167527.12|2257.6,2711,143299.78,185340.19,29.34
Entertainment and media events,Financial|Philanthropy|Media Sponsorship|Food Stalls|Influencer,57643.39|70734.08|79153.02|732.39|91650.01,33501,256974.17,381574.75,48.49
Virtual event,In Kind|Influencer|Financial|Merchandise|Philanthropy,40015.31|64779.43|12558.5|16843.28|38587.54,7608,151727.75,197798.54,30.36
Community and Charity events,Influencer|Media Sponsorship|Food Stalls|Philanthropy|Merchandise,10960.25|73955.58|30267.0|93396.84|23901.02,1713,207457.34,242564.82,16.92
Conferences and seminars,Food Stalls|Food Stalls,2490.15|19386.38,334,18276.27,28499.03,55.93
Conferences and seminars,In Kind,16460.43,3970,11067.98,17958.39,62.26
Conferences and seminars,Merchandise|In Kind|Media Sponsorship|Food Stalls,997.29|62174.22|39514.18|17330.5,4262,83570.23,147984.84,77.08
Festivals and fairs,In Kind|Media Sponsorship|Merchandise|Financial,1846.67|38648.78|41403.3|148017.01,26292,165178.78,303870.79,83.96
Conferences and seminars,Financial,9533.99,3485,6003.0,9984.84,66.33
Sports events,Financial|Influencer|Food Stalls|Merchandise,190102.56|21254.0|29184.14|1656.84,12167,166462.2,297222.09,78.55
Festivals and fairs,Merchandise|Merchandise|Philanthropy,24205.81|15413.67|58403.15,14804,61752.68,87579.75,41.82
Conferences and seminars,Food Stalls|Food Stalls|Food Stalls|Media Sponsorship,9145.5|14134.83|677.71|51419.08,2267,55921.28,79044.86,41.35
Entertainment and media events,Financial|Food Stalls|Philanthropy,96483.39|17411.5|57175.66,16381,104840.68,209108.48,99.45
Sports events,Food Stalls|In Kind|In Kind,39031.15|19290.44|69892.76,10206,79844.32,148375.53,85.83
Sports events,Merchandise|Food Stalls|In Kind|Philanthropy,18606.29|12051.75|12596.23|56820.62,44218,66146.94,97517.75,47.43
Entertainment and media events,Influencer|Philanthropy|Merchandise|Food Stalls,96493.2|5816.07|14846.58|1542.26,33130,75053.4,108225.66,44.2
Sports events,Financial,51218.71,64416,40103.84,79767.94,98.9
Community and Charity events,Media Sponsorship|In Kind|Philanthropy|Influencer|Influencer,49806.54|11945.87|66519.1|67429.66|51515.05,2887,186391.62,342870.74,83.95
Conferences and seminars,Financial|Food Stalls|Influencer|Media Sponsorship|Philanthropy,131888.34|26055.35|14327.53|85378.31|98765.15,3942,317706.24,504472.21,58.79
Conferences and seminars,Financial,135333.91,1265,109026.63,176925.61,62.28
Community and Charity events,Influencer,33497.8,1398,26404.59,52706.18,99.61
Virtual event,Media Sponsorship|Influencer|Merchandise,80500.14|61845.57|5129.3,2629,131210.98,217009.8,65.39
Virtual event,Media Sponsorship|Financial,86585.25|125254.33,4215,134215.8,263010.53,95.96
Conferences and seminars,Financial|Influencer|Merchandise|Influencer|Media Sponsorship,132859.8|90820.72|26239.2|68278.52|57686.1,1479,279496.94,479529.38,71.57
Community and Charity events,Media Sponsorship|Philanthropy,56234.52|20620.36,1832,55046.66,67689.4,22.97
Sports events,In Kind|In Kind|Food Stalls,63312.07|75433.25|13758.92,54096,95660.96,115734.52,20.98
Conferences and seminars,Food Stalls|Media Sponsorship,30943.04|17123.27,2029,31743.99,61030.4,92.26
Conferences and seminars,Financial,35053.57,2897,24516.13,43803.54,78.67
Conferences and seminars,In Kind|Media Sponsorship,32636.97|51910.14,1339,66674.6,80173.07,20.25
Festivals and fairs,Philanthropy|Merchandise,37232.09|11997.6,99154,33024.31,52090.46,57.73
Sports events,Influencer|Financial|Merchandise,5142.59|144803.53|33459.14,45689,117041.17,129286.75,10.46
Entertainment and media events,Financial|Media Sponsorship|Food Stalls,111468.6|82226.18|2494.47,4680,133193.72,217682.26,63.43
Community and Charity events,Philanthropy|In Kind|Financial|Philanthropy|Food Stalls,54285.48|71199.9|45445.24|93975.02|49720.77,3162,196817.95,228216.94,15.95
Entertainment and media events,Media Sponsorship|Influencer|Financial|In Kind,20668.38|55918.09|25281.92|23231.53,30470,109640.82,197694.98,80.31
Festivals and fairs,Merchandise,723.02,47067,469.01,853.34,81.95
Entertainment and media events,In Kind|Food Stalls|Philanthropy|Media Sponsorship|In Kind,72685.6|38814.71|3706.69|36144.26|85494.56,16314,156035.69,288730.11,85.04
Virtual event,Financial|Merchandise|Influencer|Media Sponsorship,194517.82|37308.98|36600.2|3034.83,8803,170008.62,281799.09,65.76
Entertainment and media events,Influencer|Food Stalls,20562.31|751.44,23306,18726.3,29570.14,57.91
Conferences and seminars,In Kind|Merchandise|In Kind,76568.07|10723.34|99450.33,3084,161826.41,312313.5,92.99
Entertainment and media events,Merchandise|Food Stalls|Financial|Merchandise|Merchandise,48711.79|21605.67|189735.98|4601.29|39711.74,43762,235774.53,295093.55,25.16
Virtual event,Influencer|Media Sponsorship|Merchandise,24423.37|62249.6|2177.02,3647,65945.68,131456.61,99.34
Community and Charity events,Merchandise|In Kind|Food Stalls|Media Sponsorship|Media Sponsorship,16046.87|35148.61|17982.45|5469.62|89858.19,2256,133077.26,265150.71,99.25
Festivals and fairs,Influencer|In Kind|Philanthropy|Financial|Food Stalls,50478.43|19268.56|50850.28|115828.59|19959.07,89740,221590.95,435537.06,96.55
Community and Charity events,Philanthropy|In Kind|Philanthropy|Food Stalls|Philanthropy,98407.07|9545.58|65983.2|30537.22|74248.66,2169,192819.69,356688.07,84.99
Community and Charity events,Influencer|Media Sponsorship|Philanthropy|In Kind|Food Stalls,19902.08|80304.25|62285.63|75068.99|4061.66,4621,157523.26,226696.68,43.91
Virtual event,In Kind|Influencer|Media Sponsorship|Media Sponsorship|Philanthropy,78066.71|71117.65|2771.53|13852.01|22039.62,1081,163045.11,264171.67,62.02
Community and Charity events,Influencer|Merchandise|In Kind,95564.76|3455.98|91453.82,4552,139721.99,258428.18,84.96
Conferences and seminars,Food Stalls|Influencer,14877.9|8502.73,2757,14174.3,20788.68,46.66
Conferences and seminars,Food Stalls|Financial,41939.1|43871.56,4906,75706.22,101369.83,33.9
Entertainment and media events,Food Stalls|Financial|Influencer,6681.99|31676.02|51432.7,48412,55399.48,99690.37,79.95
Entertainment and media events,Media Sponsorship|Financial|Food Stalls|Media Sponsorship|Media Sponsorship,13922.66|133527.47|14870.59|74263.96|77399.92,45313,215569.68,368651.61,71.01
Festivals and fairs,Media Sponsorship|Influencer|Influencer|Philanthropy,39630.62|65488.3|50191.26|23231.5,21424,143696.71,222272.72,54.68
Conferences and seminars,Merchandise|Media Sponsorship|Food Stalls|In Kind,35770.33|4277.46|34075.19|42192.03,4765,100324.54,148547.31,48.07
Sports events,In Kind,57141.56,71209,43286.47,48972.51,13.14
Virtual event,Media Sponsorship|Philanthropy|Financial|Influencer,6276.78|70962.98|106345.96|61281.03,1961,220274.0,301655.86,36.95
Entertainment and media events,Influencer|Influencer|Philanthropy,95734.1|57931.33|98680.27,7112,202977.02,365826.64,80.23
Festivals and fairs,In Kind|Food Stalls|Media Sponsorship|In Kind|In Kind,91580.01|18987.05|44429.55|40610.16|94175.08,4031,242929.22,372000.26,53.13
Conferences and seminars,Influencer|Influencer|Influencer,81554.05|67947.74|13866.96,4585,145117.72,287448.12,98.08
Virtual event,Influencer|Merchandise|Media Sponsorship|Financial|Merchandise,42681.37|24699.17|57329.02|123593.49|30141.8,6880,217853.36,323474.43,48.48
Festivals and fairs,Food Stalls|Merchandise,32782.27|38786.92,76564,46765.37,55919.45,19.57
Entertainment and media events,Influencer|Financial|Financial,55547.24|32775.53|38007.85,14009,94742.61,110393.0,16.52
Sports events,Merchandise|Philanthropy|Merchandise|Influencer|Influencer,27978.76|60940.76|5441.87|44963.21|65598.65,37693,174409.1,312775.13,79.33
